ness_ID,gene,transcript,SFS0,SFS4,pi0,pi4
26903746,g2,g2.t1,"[369, 12, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[134, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.007903936768505853,0.008714596949891067
26903463,g3,g3.t1,"[210, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[75, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00308641975308642,0.012904307021954081
26903339,Cre01.g000050,Cre01.g000050.t1.3,"[2964, 58, 18, 5, 2, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[982, 30, 8, 7, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005363542034380582,0.008179453010977854
26903974,Cre01.g000100,Cre01.g000100.t1.3,"[4308, 104, 30, 4, 20, 5, 18, 12, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1452, 57, 13, 2, 9, 2, 14, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.010000507787280654,0.015072609965744072
26903809,Cre01.g000150,Cre01.g000150.t1.2,"[1542, 13, 4, 2, 10, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[522, 10, 6, 4, 8, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0053657018362900715,0.01743701669776229
26903011,Cre01.g000200,Cre01.g000200.t1.3,"[1397, 13, 4, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[472, 10, 11, 2, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0023800628225884566,0.012248366013071894
26903028,Cre01.g000250,Cre01.g000250.t1.2,"[474, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[185, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00023391812865497074,0.004806861016011342
26903629,Cre01.g000300,Cre01.g000300.t1.3,"[1100, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[320, 7, 2, 5, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0003910902529642863,0.010834889511360099
26903061,Cre01.g000350,Cre01.g000350.t1.3,"[788, 13, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[252, 10, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004273815006018889,0.01009657594381036
26903690,Cre01.g000400,Cre01.g000400.t1.2,"[1210, 6, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[319, 11, 5, 3, 4, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0028941859968388225,0.017902813299232736
26903197,Cre01.g000450,Cre01.g000450.t1.2,"[740, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[158, 0, 0, 2, 4, 4, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0007144558228149559,0.036306622841814955
