transcript_ID	Cincerta_transcript_ID	PID	k0	k4	aligned_sites
26888200	g6935.t1	0.05	0.008692600022376415	0.18207552577683572	4171
26904954	g13204.t1	0.09	0.04401472351350133	0.19942765984278787	1020
26894252	g11333.t1	0.15	0.09311459003813524	0.4301792840669918	4201
26891814	g15729.t1	0.22	0.19454877754058458	0.4704491069069298	4096
26901315	g5327.t1	0.05	0.002025659570349209	0.19896085182196072	2257
26889460	g16153.t1	0.09	0.03284638952083614	0.2945000962236411	2066
26890297	g2467.t1	0.3	0.26491941675655833	0.6965878470912161	1979
26904490	g2934.t1	0.2	0.15773061826452733	0.45435708259625857	3659
26897595	g2320.t1	0.19	0.1260543110175501	0.5312008076653278	3029
26901230	g5450.t1	0.04	0.007107526808383332	0.1346114927144076	2367
26898792	g9019.t1	0.1	0.048482142196564104	0.4099077797760524	343
26907201	g9986.t1	0.22	0.21042887570195723	0.37508603489135967	1177
26893587	g9348.t1	0.25	0.25118549783714944	0.5097003817693997	2640
26896857	g13041.t1	0.09	0.033385205551628834	0.3104818483320548	378
26905456	g12457.t1	0.15	0.05799232321567073	0.5282004237030172	996
26893261	g2116.t1	0.22	0.13750297568534253	0.6691566489122969	1208
26907898	g7311.t1	0.09	0.04530444230481069	0.2551430822813765	2328
26889220	g10308.t1	0.3	0.27228784098675013	0.6729226718515594	2440
26901605	g5268.t1	0.12	0.05139459526580141	0.32912568696208694	1199
26894683	g5662.t1	0.6	1.2104798006996185	1.2502558231916838	1346
26889120	g16327.t1	0.07	0.010856643130339287	0.30878146856088695	1330
26899522	g8459.t1	0.1	0.052496301521475316	0.23958917508609312	2905
26900971	g8403.t1	0.14	0.0717374088347779	0.38140296993598377	1071
26890492	g12710.t1	0.09	0.03934155717579596	0.26831222630137336	2208
26894846	g15403.t1	0.08	0.049946091602203986	0.26230127287471755	1433
26899301	g1362.t1	0.15	0.09165342068569565	0.3831192178244929	1200
26906885	g12233.t1	0.24	0.19594462157696835	0.5808696150104233	2109
26895341	g13769.t1	0.13	0.05624440242259207	0.39694449409112165	640
26889559	g8663.t1	0.26	0.22120913223023306	0.7791697904748657	1213
26902537	g2647.t1	0.13	0.05639398732498518	0.41624763155934597	750
26888624	g11655.t1	0.26	0.2177758988166551	0.6559371501962477	3008
26893684	g17610.t1	0.16	0.10237811882791527	0.40304448836303425	1780
26888068	g11713.t1	0.1	0.041123790550602064	0.35019484093269165	3588
26889383	g10440.t1	0.16	0.09683362194477858	0.430074263587827	2129
26905744	g14281.t1	0.11	0.08341922633266828	0.2747010369880051	4204
26898118	g16743.t1	0.28	0.23623483666153652	0.6501343559563351	16587
26893486	g17581.t1	0.15	0.12521631930320998	0.3186623954739496	4720
26907072	g11935.t1	0.07	0.025356457915361348	0.21290658324766365	2310
26908093	g10022.t1	0.11	0.056234004842224336	0.33391536399520205	2363
26899891	g7902.t1	0.26	0.26069602281459464	0.5436719091558941	1040
26901545	g2710.t1	0.16	0.0830388721074609	0.5191402701462016	1570
26889303	g10524.t1	0.16	0.11480135526469343	0.34298153232336515	1066
26895951	g14114.t1	0.13	0.05491751561098792	0.46557923331979373	3266
26903040	g6539.t1	0.04	0.008408159811912437	0.18921752858579022	1810
26899797	g7811.t1	0.16	0.11932562280123124	0.3584662176986068	5522
26896403	g3635.t1	0.06	0.03374882723060321	0.18582859965342147	1961
26900324	g9497.t1	0.17	0.11863237953459052	0.36180239054655267	3746
26896068	g13008.t1	0.16	0.11200896641423988	0.44444144617314474	801
26898514	g1374.t1	0.15	0.06490534224829228	0.4692794248233094	592
26898287	g14437.t1	0.2	0.13866397166815508	0.49634748800690187	2183
26905214	g2922.t1	0.23	0.1951362335601371	0.5408759064644901	10704
26898782	g1802.t1	0.3	0.2704017574146362	0.6967169034609371	6163
26896269	g14370.t1	0.13	0.06726496899184839	0.3963619374706205	1912
26904497	g13313.t1	0.1	0.03681720764739272	0.35670803810619306	785
26900878	g13505.t1	0.09	0.03232512619043964	0.2935270037308282	1394
26894707	g117.t1	0.15	0.07393918520307484	0.4687826949434084	3821
26906664	g4773.t1	0.05	0.0044809692666657715	0.2334584197863475	2024
26901941	g11138.t1	0.09	0.030033072981364914	0.26519067663036067	1669
26891208	g15172.t1	0.23	0.18476834148073326	0.5764088985331177	2181
26895425	g15490.t1	0.16	0.107596219907608	0.44929376905405516	2611
26896599	g13094.t1	0.18	0.12733307555350998	0.4238214402750362	4242
26890618	g12702.t1	0.24	0.21169850574150528	0.49671689415003	2090
26891906	g3836.t1	0.16	0.10256532473491256	0.41447524536316716	9334
26900926	g16872.t1	0.16	0.11058622103832862	0.4229762639506985	5440
26891220	g10244.t1	0.17	0.13707091040139302	0.395322240473688	1419
26896596	g3524.t1	0.04	0.0012847968880709837	0.189542159413473	1173
26903195	g6454.t1	0.3	0.32905985450564623	0.6007349140223706	3121
26900895	g8453.t1	0.09	0.00979605763261286	0.4862224607959452	619
26905925	g4186.t1	0.25	0.2096490510673924	0.630900210389314	3806
26893810	g4468.t1	0.12	0.06190635153395048	0.3196197745132481	2117
26893833	g540.t1	0.11	0.0609786202904802	0.3136032445214482	6122
26895712	g13885.t1	0.15	0.09622220543713986	0.3998330014165692	1168
26889525	g10301.t1	0.25	0.21582189951326575	0.5833931009567298	2128
26906517	g11760.t1	0.05	-0.0	0.25235417746590966	454
26902437	g11143.t1	0.22	0.17298503461302384	0.559459024595187	921
26898928	g1806.t1	0.18	0.10999143746760148	0.4811169721964157	14431
26891073	g15185.t1	0.19	0.17406229976476384	0.4044182767693502	3102
26890473	g2477.t1	0.12	0.06553763713048336	0.3320523771790469	1129
26893058	g2190.t1	0.01	-0.0	0.04286881037996148	275
26898248	g16727.t1	0.33	0.3324324238333806	0.7463993949710092	8732
26888258	g6680.t1	0.32	0.35750216579996696	0.5108616618698584	1805
26896649	g16656.t1	0.13	0.05656782136293138	0.389252429573417	2416
26904128	g6324.t1	0.14	0.08132535943277738	0.4286939842366038	805
26893079	g2229.t1	0.12	0.06816138761108412	0.37387022168836437	1074
26888370	g3226.t1	0.11	0.04993524381117562	0.32669613717014523	2626
26891969	g1045.t1	0.09	0.04786900434530536	0.2952924676736108	1275
26898847	g9014.t1	0.08	0.019868711585232256	0.332869481985458	1002
26893189	g17584.t1	0.14	0.08400379378237115	0.4056558266676655	2353
26903085	g6272.t1	0.05	0.01370348072949064	0.16355905563356068	3120
26903896	g6613.t1	0.08	0.06173148559704272	0.1946333966138134	203
26893560	g2075.t1	0.05	0.009123695592759528	0.19345684189448956	1836
26897018	g16528.t1	0.22	0.15731515334848473	0.6160044240982983	11303
26890283	g3785.t1	0.1	0.05456951571182124	0.33182737577110055	2876
26895025	g14147.t1	0.44	0.5528053385629795	1.0524545232407314	1421
26891833	g15657.t1	0.08	0.030073419694126212	0.32648855344338423	668
26895551	g14138.t1	0.22	0.17025702941740267	0.5131495839848598	3548
26892369	g4009.t1	0.15	0.10741412308515902	0.35941732003711624	7988
26896636	g3501.t1	0.16	0.11500268053955306	0.38107561982985416	3107
26893665	g11715.t1	0.26	0.2379658743147306	0.6022085196280508	2975
26888000	g11624.t1	0.07	0.02860895119476784	0.22978065409795007	885
26902751	g5673.t1	0.18	0.1254755112197559	0.4554035630694153	1924
26893145	g11395.t1	0.09	0.04271616969560429	0.27516962499144365	874
26902789	g10897.t1	0.21	0.16485492829401396	0.529472277248882	2179
26893709	g587.t1	0.12	0.041921426490689605	0.39916261031048134	2851
26897564	g6989.t1	0.39	0.4471220531289372	0.9524544239707294	8326
26891228	g7971.t1	0.14	0.07388714744291336	0.4437582902963143	1868
26903827	g6668.t1	0.15	0.11251800233840054	0.41262111344722124	3431
26894433	g17704.t1	0.12	0.0758455203937531	0.3167041698184093	2771
26905138	g13388.t1	0.08	0.024744512365761667	0.3258394837360626	739
26901120	g2554.t1	0.26	0.22810496241219252	0.560577778803573	10917
26888688	g11696.t1	0.28	0.24502666881789958	0.6562831492747055	1982
26906915	g7283.t1	0.21	0.15763184140889927	0.4725047127667591	3297
26900557	g7611.t1	0.07	0.014851970472134816	0.28316723999331583	1331
26898914	g1919.t1	0.09	0.04276095102836982	0.24710940084768174	1903
26888692	g11645.t1	0.11	0.05657238705872823	0.31120788904703106	4802
26895250	g16941.t1	0.2	0.12860365557741665	0.5818791723037939	1344
26901050	g8281.t1	0.14	0.0815014854143919	0.3515599185417634	1941
26904981	g13230.t1	0.04	0.009259376866724534	0.161255107440861	1508
26900776	g13468.t1	0.16	0.08536697583021484	0.5439042563065211	1152
26891486	g744.t1	0.16	0.08765725130808541	0.4020277823343652	1076
26900394	g8460.t1	0.06	0.020441029871187594	0.25146449764628015	1670
26896065	g8770.t1	0.13	0.06272939025314296	0.38759510033532707	3851
26888973	g8642.t1	0.13	0.06332873935993087	0.35795319072879794	1190
26899934	g7776.t1	0.14	0.09956115375829946	0.3432782454056881	825
26906633	g17322.t1	0.11	0.03691160040318796	0.4019289811222605	3042
26904847	g13300.t1	0.11	0.06419726187036157	0.3176295246551055	3975
26890718	g10262.t1	0.23	0.18528046718996882	0.5372601113075273	6304
26889587	g10575.t1	0.19	0.12962351511858566	0.5292587307542813	5074
26892081	g1020.t1	0.15	0.082192772397297	0.4293893945784979	1898
26893866	g17639.t1	0.07	0.01571913826563264	0.25534520834937635	1370
26908213	g4683.t1	0.24	0.20039796853624936	0.6200089298883509	2956
26904875	g13296.t1	0.11	0.06295253533703801	0.3383184517012048	3119
26897122	g5553.t1	0.19	0.11538225429203028	0.5874439673863112	3576
26898453	g1932.t1	0.25	0.23352454012540727	0.5092836858738563	3354
26897443	g11481.t1	0.09	0.042076041812772635	0.2948584677900928	2479
26908066	g10119.t1	0.1	0.06737694805611881	0.28235817842618405	633
26890385	g17315.t1	0.11	0.10803675794180917	0.13418579885425524	1507
26889104	g8584.t1	0.09	0.030673419726126205	0.2995579493995936	1126
26896915	g3312.t1	0.06	0.008203206779040108	0.26515312288154985	1314
26898062	g6963.t1	0.3	0.2893085230278344	0.7094323762629122	3010
26904388	g12333.t1	0.16	0.08494151049667382	0.46968970929743614	1428
26888003	g13685.t1	0.22	0.18274646957887744	0.5253847368166631	3521
26888033	g13581.t1	0.03	0.0030927878878965307	0.14561701083071812	467
26905059	g5917.t1	0.15	0.09887273808327038	0.3661780457940206	2888
26902826	g5585.t1	0.1	0.04553484568034409	0.24581709283563605	1813
26901890	g10830.t1	0.14	0.09314278517353784	0.3478247844115222	1646
26892830	g3896.t1	0.11	0.018204777267154814	0.6163944650613892	415
26903198	g9837.t1	0.16	0.09261079257826586	0.5114804099713652	416
26901995	g5073.t1	0.04	0.008564530262304542	0.14817237957192886	1244
26903495	g13722.t1	0.25	0.21296135125951787	0.6052755046434355	6492
26895625	g15573.t1	0.15	0.09112412403618766	0.4251736327160728	1916
26892681	g4114.t1	0.1	0.04534815148083608	0.32268385282998846	1402
26899005	g1400.t1	0.23	0.170125608375922	0.6224669704307708	6420
26903750	g9831.t1	0.06	0.02645110412809349	0.1793057800398031	1230
26891581	g3969.t1	0.18	0.13207680282677953	0.4331377486984972	813
26897531	g6993.t1	0.18	0.12116527403378394	0.4689349852204795	2878
26907930	g12126.t1	0.14	0.07267405686709708	0.357420772343921	1446
26902257	g5568.t1	0.07	0.028461913300935126	0.16138833123498084	1973
26895434	g15433.t1	0.15	0.09682916598178766	0.3868138065765349	3945
26898705	g1525.t1	0.09	0.05242307971303374	0.2962726731116887	722
26899235	g9054.t1	0.45	0.5911263668449611	0.923774056848285	2815
26900312	g8349.t1	0.03	0.008450793634756702	0.09558370992609028	361
26897178	g3308.t1	0.07	0.03326886436899382	0.2401835249995922	1678
26901108	g5127.t1	0.12	0.07036026988680974	0.3423928625504961	3266
26902125	g5203.t1	0.07	0.014963089814511513	0.19591162444771326	197
26892446	g3930.t1	0.13	0.06701978599780296	0.3702718865558513	1966
26902060	g5010.t1	0.05	0.006135003533948105	0.15151997090496533	1565
26906850	g12196.t1	0.12	0.07645675001849428	0.27535968285452095	2205
26889782	g10507.t1	0.2	0.1886924897157073	0.36917160530846405	1633
26906880	g11981.t1	0.2	0.1497170518538654	0.5236171016823623	1837
26902792	g11129.t1	0.09	0.005253961941306516	0.6284145196536428	289
26897077	g9717.t1	0.12	0.061573021640400544	0.32449563818749094	950
26902313	g5001.t1	0.15	0.07464463078055561	0.4286065780160956	3484
